strike	2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
17600	1999.71	1948.62	1925.72	1981.69	2041.94	2158.39	2161.91	2216.43	2096.59	2084.08
17625	2024.68	1973.60	1950.71	2006.69	2066.93	2183.39	2186.91	2241.43	2121.59	2109.08
17650	2049.66	1998.58	1975.70	2031.68	2091.93	2208.39	2211.91	2266.43	2146.59	2134.08
17675	2074.63	2023.57	2000.70	2056.68	2116.92	2233.39	2236.91	2291.43	2171.59	2159.08
17700	2099.61	2048.55	2025.70	2081.68	2141.92	2258.39	2261.91	2316.43	2196.59	2184.08
17725	2124.58	2073.54	2050.69	2106.68	2166.92	2283.39	2286.91	2341.43	2221.59	2209.08
17750	2149.56	2098.53	2075.69	2131.67	2191.91	2308.38	2311.91	2366.43	2246.59	2234.08
17775	2174.53	2123.52	2100.69	2156.67	2216.91	2333.38	2336.91	2391.43	2271.59	2259.08
17800	2199.50	2148.50	2125.69	2181.67	2241.91	2358.38	2361.91	2416.43	2296.59	2284.08
17825	2224.48	2173.50	2150.69	2206.67	2266.91	2383.38	2386.91	2441.43	2321.59	2309.08
17850	2249.46	2198.49	2175.69	2231.66	2291.91	2408.38	2411.91	2466.43	2346.59	2334.08
17875	2274.44	2223.48	2200.68	2256.66	2316.91	2433.38	2436.91	2491.43	2371.59	2359.08
17900	2299.42	2248.48	2225.68	2281.66	2341.90	2458.38	2461.91	2516.42	2396.59	2384.08
17925	2324.41	2273.48	2250.68	2306.66	2366.90	2483.38	2486.91	2541.42	2421.59	2409.08
17950	2349.40	2298.47	2275.68	2331.66	2391.90	2508.38	2511.91	2566.42	2446.59	2434.08
17975	2374.39	2323.47	2300.68	2356.66	2416.90	2533.38	2536.90	2591.42	2471.59	2459.08
18000	2399.38	2348.46	2325.68	2381.66	2441.90	2558.38	2561.90	2616.42	2496.59	2484.08
18025	2424.37	2373.46	2350.68	2406.66	2466.90	2583.38	2586.90	2641.42	2521.59	2509.08
18050	2449.35	2398.46	2375.68	2431.66	2491.90	2608.38	2611.90	2666.42	2546.59	2534.08
18075	2474.35	2423.46	2400.67	2456.66	2516.90	2633.38	2636.90	2691.42	2571.59	2559.08
18100	2499.34	2448.45	2425.67	2481.66	2541.89	2658.38	2661.90	2716.42	2596.59	2584.08
18125	2524.33	2473.45	2450.67	2506.66	2566.90	2683.38	2686.90	2741.42	2621.59	2609.08
18150	2549.33	2498.45	2475.67	2531.66	2591.89	2708.38	2711.90	2766.42	2646.59	2634.08
18175	2574.32	2523.45	2500.67	2556.66	2616.89	2733.38	2736.90	2791.42	2671.59	2659.08
18200	2599.32	2548.45	2525.67	2581.66	2641.89	2758.38	2761.90	2816.42	2696.59	2684.08
18225	2624.31	2573.44	2550.67	2606.66	2666.89	2783.38	2786.90	2841.42	2721.59	2709.08
18250	2649.31	2598.44	2575.67	2631.65	2691.89	2808.38	2811.90	2866.42	2746.59	2734.08
18275	2674.31	2623.44	2600.67	2656.65	2716.89	2833.38	2836.90	2891.42	2771.59	2759.08
18300	2699.30	2648.44	2625.67	2681.65	2741.89	2858.38	2861.90	2916.42	2796.59	2784.08
18325	2724.30	2673.44	2650.67	2706.65	2766.89	2883.38	2886.90	2941.42	2821.59	2809.08
18350	2749.30	2698.44	2675.67	2731.65	2791.89	2908.38	2911.90	2966.42	2846.59	2834.08
18375	2774.30	2723.44	2700.67	2756.65	2816.89	2933.37	2936.90	2991.42	2871.59	2859.08
18400	2799.29	2748.44	2725.67	2781.65	2841.89	2958.37	2961.90	3016.42	2896.59	2884.08
18425	2824.29	2773.44	2750.67	2806.65	2866.89	2983.37	2986.90	3041.42	2921.59	2909.08
18450	2849.29	2798.43	2775.67	2831.65	2891.89	3008.37	3011.90	3066.42	2946.59	2934.08
18475	2874.29	2823.43	2800.67	2856.65	2916.89	3033.37	3036.90	3091.42	2971.59	2959.08
18500	2899.29	2848.43	2825.67	2881.65	2941.89	3058.37	3061.90	3116.42	2996.59	2984.08
